Game,Platform,Genre,Publisher,Year,Global_Sales_M,Critic_Score,User_Score,ESRB_Rating,Dev_Team_Size,Budget_MUSD,Region,Franchise,Metascore_Bucket
Mouse Tournament,PS1,Sports,Cosmic Games,2005,0.2,54,5.0,E,20,6.3,EU,False,Low
Finish Journey,PS3,Racing,Cosmic Games,2006,0.93,77,7.7,M,17,7.2,Other,False,Mid
War Saga,Wii,Strategy,Cosmic Labs,2009,0.05,67,6.4,E,11,6.4,EU,False,Mid
Season Quest,PS4,Sports,Legendary Entertainment,2013,0.47,50,4.6,E10+,26,24.7,NA,True,Low
Fun Stories,GC,Party,Neon Works,2007,0.03,63,6.3,M,16,5.1,NA,False,Low
Dog Pack,Wii,Party,Neon Interactive,2006,0.44,69,7.0,E,15,8.0,Other,False,Mid
Brain Odyssey,PS5,Puzzle,Lightning Systems,2020,0.8,94,9.4,T,32,13.3,NA,False,Top
Attack Journey,PS5,Strategy,Thunder Entertainment,2020,0.15,85,8.3,T,29,19.8,NA,False,High
Challenge Odyssey,GC,Puzzle,Green Systems,2006,0.15,56,4.9,T,7,1.9,Other,False,Low
Empire Chronicles,N64,Role-Playing,Thunder Studios,2002,0.32,78,8.3,E,41,13.3,JP,True,Mid
Gate Saga,PS4,Role-Playing,Crystal Games,2013,1.77,76,8.1,E,60,27.1,EU,True,Mid
Rat Mix,XSX,Party,Neon Works,2020,0.09,68,7.0,T,24,7.4,NA,False,Mid
Adventure Journey 5,XSX,Adventure,Storm Studios,2020,0.4,65,7.3,E10+,34,25.2,NA,True,Mid
Zoo Odyssey,PS3,Simulation,Golden Entertainment,2013,0.09,74,7.0,M,17,8.7,Other,False,Mid
Spider Chronicles,PS5,Adventure,Green Labs,2020,0.83,82,8.6,M,5,3.2,EU,True,High
School Journey: Revolution,PC,Indie,Lightning Games,2008,0.19,88,8.4,E,30,6.5,JP,False,High
Mini Journey 2,NES,Party,Storm Studios,1994,0.34,80,7.2,E10+,20,9.8,JP,False,High
Chronicles Saga,PS4,Adventure,Crystal Games,2020,0.41,64,6.5,M,45,45.5,EU,False,Low
Path Stories,NES,Role-Playing,Storm Games,1994,0.28,69,6.9,RP,36,15.6,NA,True,Mid
Mini Tales,Wii,Party,Digital Productions,2006,0.17,50,4.4,E,18,8.9,Other,False,Low
Alien Games,Switch,Party,Lightning Systems,2017,0.04,70,6.7,T,13,3.7,Other,False,Mid
Speed Odyssey,X360,Racing,Green Systems,2013,0.12,70,7.1,M,15,8.3,NA,False,Mid
Legend Command: Rebirth,PS4,Strategy,Cosmic Productions,2018,0.15,71,6.2,M,41,16.9,NA,True,Mid
Mind Tales 5,SNES,Puzzle,Crystal Games,1991,0.1,49,5.6,T,7,2.2,EU,False,Low
Legend Bounce,PS3,Platform,Golden Entertainment,2011,0.44,71,7.2,E10+,20,5.6,EU,False,Mid
Dog Chronicles,Switch,Adventure,Digital Productions,2017,0.1,71,6.8,M,12,6.0,EU,False,Mid
Indie Adventure,PS3,Indie,Stellar Systems,2016,0.09,65,7.0,E,6,2.2,EU,False,Mid
Falcon Legends,SNES,Adventure,Cosmic Productions,1998,0.32,89,8.3,E,10,4.2,Other,False,High
Enigma Stories,Switch,Puzzle,Neon Works,2024,0.02,85,8.9,T,6,1.2,EU,False,High
Park Epic 3,PC,Simulation,Digital Productions,2007,0.46,81,8.5,T,17,9.0,EU,True,High
Season Epic: Revelation,NES,Sports,Cosmic Labs,1994,0.55,69,6.9,T,15,4.5,NA,False,Mid
Spider Fun 4,PS3,Party,Lightning Games,2010,0.07,66,5.6,T,16,5.8,EU,False,Mid
Bridge Odyssey,PS4,Role-Playing,Cyber Entertainment,2015,1.89,80,7.6,T,41,51.6,JP,True,High
Adventure Journey 5,NES,Adventure,Silver Works,1994,0.1,74,7.3,E,9,4.3,NA,False,Mid
Odyssey Chronicles 4,X360,Adventure,Purple Labs,2005,0.56,85,8.2,M,12,3.8,NA,False,High
Portal Tales 4,PS2,Role-Playing,Green Labs,2008,0.04,83,7.4,T,30,4.7,EU,False,High
Alien Arcade 4,PS2,Indie,Thunder Interactive,2012,0.09,65,6.3,E,6,1.9,JP,True,Mid
Think Tales,XSX,Puzzle,Green Labs,2024,0.37,66,7.1,M,34,37.6,JP,True,Mid
Cup Legends 3,PS4,Sports,Green Systems,2013,0.48,71,7.0,E10+,26,14.6,Other,False,Mid
Arena Epic 3,Switch,Fighting,Cosmic Studios,2017,0.11,81,8.8,E,14,4.1,NA,False,High
Hyper Mind 3,NES,Puzzle,Purple Designs,1994,0.07,68,7.4,E,7,1.7,NA,False,Mid
Hero Mix,GC,Party,Legendary Entertainment,2007,0.17,91,9.3,M,19,6.4,EU,False,Top
Brain Journey,PC,Puzzle,Cosmic Labs,2019,0.02,77,8.0,E,12,4.6,EU,False,Mid
Challenge Quest,N64,Puzzle,Thunder Games,2002,0.03,56,5.7,T,5,1.3,Other,False,Low
Mystery Epic,NES,Puzzle,Golden Entertainment,1994,0.1,68,6.6,E,6,3.0,EU,False,Mid
Raven Force,PC,Action,Epic Systems,2005,0.81,73,7.6,E10+,35,35.9,EU,False,Mid
Jump Stories,Switch,Platform,Neon Designs,2019,1.02,74,7.9,M,13,6.9,NA,False,Mid
Ninja Realm,Switch,Role-Playing,Neon Designs,2017,1.13,78,6.9,M,32,11.0,JP,False,Mid
King Party,PS5,Party,Stellar Systems,2021,0.03,54,5.3,E,36,24.0,Other,False,Low
Circuit Chronicles 2,PC,Racing,Cyber Entertainment,2009,0.35,64,6.4,M,15,2.5,JP,True,Low
Clash Tales: Rebirth,XOne,Fighting,Blue Designs,2013,0.31,66,6.1,E,33,13.4,EU,False,Mid
Duel Adventure,GC,Fighting,Cosmic Entertainment,2007,0.22,72,6.9,M,16,11.2,NA,False,Mid
Mage Gate 4,GC,Role-Playing,Thunder Studios,2007,0.18,51,6.0,T,29,7.5,JP,False,Low
Strike Adventure,XSX,Action,Stellar Systems,2020,0.8,71,7.2,T,68,52.0,JP,True,Mid
Super Battle,Switch,Action,Digital Productions,2017,1.92,79,7.1,E,10,6.9,Other,True,Mid
Mega Fighter,PS4,Action,Thunder Games,2013,0.47,86,9.8,M,25,15.4,NA,True,High
Brain Adventure,PC,Puzzle,Lightning Games,2006,0.02,75,7.7,E10+,21,13.9,NA,True,Mid
Spider Tournament,WiiU,Fighting,Thunder Entertainment,2017,0.56,66,7.0,M,7,2.6,Other,False,Mid
Hawk Turbo 3,PC,Racing,Cosmic Games,2006,0.04,75,6.5,T,22,5.8,NA,True,Mid
Think Journey,X360,Puzzle,Cosmic Productions,2015,0.11,83,8.0,T,4,1.4,Other,False,High
Mini Legends,Switch,Party,Blue Games,2017,0.08,46,4.7,E,10,2.3,JP,True,Low
Arena Odyssey: Return,PC,Fighting,Thunder Entertainment,1993,0.15,53,5.1,T,52,23.5,JP,False,Low
Chronicles Quest,Switch,Adventure,Cyber Studios,2017,1.43,75,7.7,M,15,7.2,JP,False,Mid
Hamster Bullet 4,PS5,Shooter,Neon Works,2020,0.12,62,5.8,M,69,92.6,NA,True,Low
Weapon Quest,X360,Shooter,Storm Studios,2016,0.02,71,7.0,E,39,12.2,NA,False,Mid
Fire Saga 5,PC,Shooter,Digital Productions,2010,0.7,85,8.3,M,68,43.0,EU,False,High
Gun Saga,PS5,Shooter,Crystal Games,2024,1.15,82,9.2,E10+,11,11.2,Other,False,High
Bullet Adventure,Wii,Shooter,Digital Productions,2012,1.61,71,7.6,E,9,9.4,NA,True,Mid
Kingdom Legends,PS3,Role-Playing,Crystal Systems,2006,0.27,73,7.2,T,31,17.2,NA,False,Mid
Run Stories,GC,Platform,Cosmic Studios,2007,0.46,86,8.2,M,19,3.4,EU,False,High
Think Odyssey,NES,Puzzle,Thunder Games,1994,0.08,76,7.9,E10+,4,1.9,Other,True,Mid
Ring Legends,Switch,Fighting,Future Interactive,2017,0.43,64,5.6,M,20,4.8,Other,True,Low
Cup Saga: Awakening,PS4,Sports,Silver Labs,2013,0.14,58,6.1,T,28,25.5,NA,False,Low
Super Circuit,PS2,Racing,Cyber Entertainment,2012,0.11,76,7.2,E10+,24,16.3,EU,False,Mid
Combat Tales,PC,Action,Thunder Interactive,2004,1.02,86,8.8,M,54,46.8,EU,False,High
School Stories 5,GC,Indie,Purple Studios,2006,0.21,89,8.6,M,4,1.3,Other,False,High
Run Saga 2,GC,Platform,Purple Labs,2001,0.04,83,9.6,T,16,10.7,Other,False,High
Defense Chronicles 2,Switch,Strategy,Cosmic Games,2017,0.2,79,8.2,E,20,9.4,Other,True,Mid
Cup Odyssey,Switch,Sports,Purple Labs,2017,3.74,74,7.4,M,15,3.5,NA,True,Mid
Bat Bundle,Wii,Party,Crystal Entertainment,2006,0.53,74,7.0,M,18,11.9,Other,False,Mid
Siege Legends,PS3,Strategy,Neon Systems,2006,0.11,70,7.4,M,12,6.3,EU,False,Mid
Combat Legends 3,PS2,Action,Thunder Studios,2012,0.39,72,7.1,E10+,33,9.5,NA,True,Mid
Drive Stories,X360,Racing,Stellar Entertainment,2006,0.32,67,7.2,T,7,1.7,JP,False,Mid
Spider Path,Wii,Role-Playing,Legendary Entertainment,2013,0.13,81,8.1,T,19,11.2,JP,False,High
Prince Tactics 2,Wii,Strategy,Cosmic Games,2006,0.2,73,7.5,E,17,5.5,NA,False,Mid
Turbo Odyssey,SNES,Racing,Thunder Studios,1998,0.04,78,7.5,E10+,21,13.7,Other,False,Mid
Scorpion Challenge 4,PC,Puzzle,Purple Designs,2003,0.08,81,8.7,T,25,11.4,EU,False,High
Dimension Odyssey,PS4,Role-Playing,Lightning Games,2013,0.01,76,7.1,E,42,20.4,Other,False,Mid
Track Quest 5,XOne,Racing,Crystal Systems,2013,0.6,82,8.6,T,41,21.4,NA,False,High
Season Saga,Wii,Sports,Crystal Designs,2013,1.01,82,7.7,RP,9,1.3,NA,False,High
Champion Odyssey,Switch,Sports,Thunder Games,2017,1.45,67,6.5,T,18,15.7,NA,True,Mid
Fire Adventure,N64,Shooter,Thunder Studios,2002,0.04,72,6.8,E,40,12.6,EU,False,Mid
Fire Odyssey,PS5,Shooter,Thunder Studios,2020,0.53,72,7.8,E,65,33.5,JP,False,Mid
Command Journey 3,Switch,Strategy,Crystal Systems,2017,0.36,67,7.5,E,19,4.4,Other,True,Mid
Scorpion Boost,SNES,Platform,Crystal Designs,1998,0.26,86,8.7,E10+,14,2.9,JP,True,High
Falcon Sim: Rebirth,PS1,Simulation,Stellar Systems,1994,0.01,74,6.3,E,22,14.4,Other,True,Mid
Match Adventure,N64,Fighting,Purple Works,2002,0.12,61,5.6,M,12,4.5,JP,True,Low
Trigger Saga: Revolution,PS2,Shooter,Purple Works,2000,0.21,90,8.3,T,35,33.9,Other,True,Top
Shot Tales,PS2,Shooter,Lightning Systems,2006,0.51,75,7.5,E10+,34,15.8,JP,True,Mid
Run Saga,Wii,Platform,Purple Designs,2013,0.05,58,6.4,M,21,12.5,NA,False,Low
Fight Tales,Switch,Fighting,Blue Games,2023,0.15,76,7.7,E10+,16,4.2,Other,False,Mid
Super Strike,X360,Action,Cosmic Labs,2007,0.1,77,8.1,E,46,9.1,NA,False,Mid
Lord Expedition,GC,Adventure,Golden Entertainment,2007,0.31,78,8.0,E,19,8.8,JP,True,Mid
Enigma Adventure,SNES,Puzzle,Green Labs,1998,0.22,64,5.4,M,4,3.1,JP,False,Low
Journey Odyssey,XSX,Adventure,Cyber Entertainment,2024,1.29,80,8.6,E,33,21.9,NA,False,High
Party Saga,PC,Party,Golden Entertainment,2015,0.08,70,6.9,T,26,8.1,JP,False,Mid
Lion Realm,XSX,Role-Playing,Crystal Designs,2020,0.21,87,9.4,T,56,14.8,EU,True,High
Assortment Chronicles,Wii,Party,Future Interactive,2006,0.14,76,8.1,T,24,8.8,NA,True,Mid
Voyage Legends,Switch,Adventure,Thunder Studios,2017,0.27,76,6.7,T,18,8.3,NA,True,Mid
World Chronicles,Switch,Role-Playing,Green Systems,2017,1.39,76,7.8,E,44,31.8,EU,True,Mid
Raven Turbo,PS1,Racing,Cosmic Entertainment,2005,0.39,59,5.2,M,5,1.6,Other,False,Low
Fox Mystery 2,XSX,Puzzle,Stellar Entertainment,2020,0.16,79,7.7,E,23,31.7,JP,True,Mid
Fighter Chronicles 5,PS4,Action,Digital Productions,2013,0.77,76,7.4,RP,66,87.7,NA,False,Mid
Voyage Tales,PS2,Adventure,Epic Systems,2000,0.05,86,8.2,M,18,4.0,EU,False,High
Squirrel Cup,SNES,Sports,Neon Systems,1998,0.54,69,6.4,T,30,5.9,NA,True,Mid
Party Odyssey 2,SNES,Party,Legendary Entertainment,1995,0.05,72,7.5,E10+,11,2.8,EU,False,Mid
Voyage Journey 5,GC,Adventure,Lightning Systems,2007,0.12,76,7.1,E10+,15,8.9,JP,True,Mid
Gun Saga,PS5,Shooter,Purple Studios,2020,0.14,59,6.2,M,31,20.7,EU,False,Low
Solve Journey,PS4,Puzzle,Silver Creations,2020,0.2,66,6.9,T,23,20.6,EU,True,Mid
Zoo Chronicles,Switch,Simulation,Purple Labs,2017,0.19,76,8.0,T,12,5.0,Other,False,Mid
Speed Stories,X360,Racing,Lightning Systems,2016,0.11,69,6.8,E,18,11.3,JP,False,Mid
Track Odyssey,WiiU,Racing,Epic Systems,2013,0.03,83,8.5,E10+,9,4.1,Other,True,High
Brawl Tales,PS3,Fighting,Purple Studios,2012,1.55,72,7.8,E10+,20,5.1,EU,False,Mid
Empire Quest,SNES,Role-Playing,Silver Labs,1998,0.17,55,5.1,T,22,5.9,NA,True,Low
Expedition Epic 4,PS4,Adventure,Mystic Labs,2013,0.38,69,7.3,T,30,29.1,NA,True,Mid
Riddle Tales,Switch,Puzzle,Future Interactive,2017,0.14,89,9.2,T,4,2.2,Other,True,High
Alien Life,SNES,Simulation,Storm Games,1998,1.07,82,9.2,E10+,16,3.7,NA,False,High
Classic Journey,PS3,Indie,Crystal Entertainment,2006,0.23,69,7.1,M,3,1.2,JP,False,Mid
Run Tales,PS2,Platform,Silver Labs,2012,0.31,57,6.0,M,16,8.8,EU,True,Low
Robot Track,PS4,Racing,Storm Interactive,2019,0.05,76,8.5,E,25,16.9,JP,False,Mid
Scorpion Variety,Wii,Party,Storm Studios,2013,0.04,58,5.0,E,12,6.8,EU,False,Low
Legend Mind,XOne,Puzzle,Neon Designs,2013,0.01,71,7.0,E10+,21,20.8,JP,True,Mid
Dimension Saga,PC,Role-Playing,Green Systems,2000,0.6,81,7.3,E,56,13.7,NA,True,High
Variety Adventure: Redemption,GC,Party,Storm Studios,2007,0.02,70,6.6,E,9,4.3,NA,True,Mid
Victory Stories 4,X360,Sports,Future Interactive,2007,0.17,79,8.5,E,11,2.4,EU,False,Mid
Bat Party,PS4,Party,Cosmic Productions,2020,0.05,64,5.9,E,27,20.1,Other,False,Low
Kingdom Chronicles 5,NES,Role-Playing,Thunder Games,1994,0.93,60,5.4,T,20,8.5,EU,False,Low
Squirrel Legends,Switch,Adventure,Blue Designs,2017,0.78,63,6.2,T,23,5.5,NA,False,Low
Strike Journey,PC,Action,Legendary Entertainment,2019,0.01,68,6.8,E10+,43,40.5,JP,True,Mid
Logic Adventure,WiiU,Puzzle,Red Entertainment,2017,0.01,66,5.8,T,7,2.5,NA,False,Mid
Phoenix Boost,Wii,Platform,Green Labs,2013,0.24,86,8.0,E10+,13,5.6,JP,True,High
Logic Stories,PS1,Puzzle,Neon Interactive,2005,0.12,57,5.0,E,5,2.4,EU,False,Low
Pirate Leap,PS4,Platform,Cosmic Studios,2019,0.71,96,9.4,E,27,25.5,Other,True,Top
Indie Stories,PC,Indie,Legendary Entertainment,2020,0.04,79,8.5,M,27,4.8,NA,True,Mid
Squirrel Run 5,Switch,Platform,Crystal Systems,2018,0.34,70,7.2,M,16,8.7,JP,False,Mid
Solve Legends,N64,Puzzle,Purple Designs,2002,0.03,79,8.0,T,4,1.2,NA,False,Mid
Eagle Combat,Wii,Action,Thunder Entertainment,2013,0.12,68,6.8,M,36,31.0,NA,False,Mid
Mix Stories 4,Wii,Party,Purple Designs,2013,0.16,53,5.2,E10+,6,4.5,EU,True,Low
Master World,PS5,Role-Playing,Thunder Studios,2020,0.29,71,7.9,M,76,16.8,Other,False,Mid
Turbo Odyssey,SNES,Racing,Thunder Studios,1998,0.69,76,8.5,E,25,5.0,NA,False,Mid
Hyper Boost,NES,Platform,Crystal Designs,1994,0.3,68,6.6,T,17,2.8,Other,False,Mid
Mix Stories,PS3,Party,Green Designs,2006,0.04,66,7.1,E,8,3.9,JP,False,Mid
Track Stories,PS2,Racing,Cosmic Productions,2012,0.02,92,8.0,M,10,6.9,Other,False,Top
Hyper Pure: Resurrection,SNES,Indie,Silver Creations,1998,0.02,64,6.4,T,7,4.5,Other,True,Low
Scorpion Racing,XOne,Racing,Green Designs,2013,0.41,87,8.7,E,26,26.2,JP,True,High
Target Adventure,XSX,Shooter,Thunder Entertainment,2020,0.57,81,8.0,M,59,45.3,EU,True,High
Track Legends 4,X360,Racing,Storm Games,2016,0.01,53,5.6,T,18,14.3,EU,False,Low
Hyper Launch,SNES,Platform,Stellar Systems,1998,0.31,78,8.1,M,13,3.9,NA,False,Mid
Cat Track,XSX,Racing,Cosmic Entertainment,2020,0.03,80,8.2,M,22,17.8,NA,False,High
Bounce Stories,Switch,Platform,Stellar Entertainment,2018,1.3,61,5.3,E10+,9,3.9,NA,False,Low
Shark Power,XSX,Action,Legendary Entertainment,2020,0.1,71,6.6,E,69,53.3,EU,False,Mid
Super Bounce: Return,Switch,Platform,Green Labs,2017,0.22,77,7.4,M,18,13.5,JP,False,Mid
Legend Ring,NES,Fighting,Crystal Games,1994,0.07,78,7.3,T,14,9.3,JP,True,Mid
Party Chronicles,NES,Party,Thunder Games,1994,0.52,80,7.4,E10+,7,4.5,EU,False,High
Empire Legends,PS4,Role-Playing,Stellar Systems,2020,0.08,77,7.4,E10+,55,21.8,JP,False,Mid
Hyper Pixel 3,PS5,Indie,Blue Games,2020,0.35,61,5.8,E10+,28,30.3,NA,False,Low
Circuit Quest,GC,Racing,Purple Studios,2001,0.04,89,8.1,M,18,8.7,NA,False,High
Final Journey,PC,Sports,Crystal Systems,2005,0.05,61,6.7,T,38,19.1,EU,True,Low
Weapon Odyssey,WiiU,Shooter,Neon Interactive,2012,2.23,55,5.2,T,26,10.0,Other,True,Low
Arena Adventure,XOne,Fighting,Golden Entertainment,2020,0.22,74,6.9,E10+,30,26.7,Other,True,Mid
Mouse Zoo,PC,Simulation,Golden Entertainment,2005,0.01,87,8.8,M,51,21.0,Other,False,High
Power Journey: Revelation,PC,Action,Silver Works,2007,0.43,74,7.1,M,55,27.1,Other,False,Mid
Fire Saga,XSX,Shooter,Purple Designs,2020,2.24,90,8.8,E,105,67.2,Other,False,Top
Fire Odyssey 5,XOne,Shooter,Neon Works,2013,0.2,88,9.1,T,59,61.8,NA,False,High
Wizard Battle,PC,Action,Storm Games,2010,0.09,75,7.4,M,36,17.8,JP,True,Mid
Arena Epic 5,PS3,Fighting,Crystal Entertainment,2006,0.26,86,8.0,E10+,12,3.3,JP,False,High
Tiger Final: Revival,XSX,Sports,Epic Systems,2020,2.15,77,7.4,T,32,17.5,NA,False,Mid
Squirrel Mystery,PS3,Puzzle,Stellar Entertainment,2013,0.24,65,6.0,E,4,1.9,JP,True,Mid
Shark Voyage,PS4,Adventure,Silver Works,2013,0.03,56,5.4,E10+,40,12.5,JP,False,Low
Hawk Odyssey,PS4,Adventure,Storm Interactive,2013,0.47,89,8.8,E,19,16.6,EU,False,High
Speed Journey,N64,Racing,Storm Games,2002,0.51,69,6.5,E10+,16,6.0,JP,True,Mid
Logic Journey 2,PC,Puzzle,Green Designs,2013,0.06,66,6.2,E,24,11.6,JP,False,Mid
Pirate Track 2,PS1,Racing,Storm Games,2005,0.14,86,7.7,T,22,13.7,JP,True,High
Racing Journey,Switch,Racing,Crystal Designs,2019,0.75,67,7.2,M,18,10.5,EU,True,Mid
Odyssey Epic,N64,Adventure,Silver Works,2002,0.44,57,5.5,M,11,8.8,JP,False,Low
Classic Chronicles,N64,Indie,Legendary Entertainment,2002,0.01,66,7.1,M,3,0.8,JP,False,Mid
Fight Adventure,PS3,Fighting,Lightning Games,2013,0.1,75,7.8,M,11,3.3,NA,False,Mid
Arcade Adventure,PC,Indie,Crystal Entertainment,2008,0.04,52,5.6,M,26,7.5,Other,True,Low
Snake Storm,PC,Action,Green Labs,1987,0.17,58,5.9,T,66,31.3,Other,False,Low
Adventure Journey,GC,Adventure,Crystal Systems,2006,0.03,75,7.4,T,7,2.5,Other,True,Mid
Nitro Odyssey 4,PS1,Racing,Cosmic Productions,2005,0.08,54,5.8,T,12,1.6,Other,False,Low
Speed Legends,X360,Racing,Green Systems,2016,0.17,75,7.7,M,24,20.8,JP,True,Mid
Scorpion Quest,NES,Adventure,Stellar Systems,1994,0.11,70,7.0,E,20,12.5,NA,True,Mid
Tournament Adventure,NES,Fighting,Neon Works,1994,0.56,73,7.7,E,18,12.3,Other,True,Mid
Mage Rush: Redemption,PS1,Platform,Cosmic Games,2005,0.11,60,4.8,T,15,3.5,EU,False,Low
Wizard Logic,PS1,Puzzle,Silver Creations,2005,0.04,63,5.0,E10+,8,3.8,NA,False,Low
Fire Chronicles,PS4,Shooter,Red Entertainment,2013,0.11,69,6.9,T,68,110.3,EU,False,Mid
Bear Life,PS2,Simulation,Stellar Entertainment,2012,0.12,72,7.0,E,16,10.2,JP,False,Mid
The Retro,PS4,Indie,Blue Games,2013,0.06,55,6.7,T,18,4.1,NA,False,Low
Pirate Jump,PS2,Platform,Neon Systems,2012,0.34,88,9.2,M,9,1.4,Other,True,High
Path Legends: Resurrection,PS4,Role-Playing,Future Interactive,2017,1.41,92,9.1,M,12,9.4,NA,False,Top
Strategy Journey,NES,Strategy,Cosmic Productions,1994,0.09,78,7.2,E,20,4.8,EU,True,Mid
Turbo Path 2,XOne,Role-Playing,Storm Games,2013,0.64,68,7.4,E10+,44,11.8,JP,False,Mid
Dog Riddle 4,GC,Puzzle,Crystal Entertainment,2007,0.25,69,7.0,E10+,6,1.4,JP,False,Mid
Enigma Saga,WiiU,Puzzle,Green Designs,2017,0.57,72,6.8,RP,5,1.5,NA,True,Mid
Battle Odyssey 5,SNES,Strategy,Lightning Systems,1998,0.01,54,5.3,M,14,3.1,EU,True,Low
Ring Stories,PS3,Fighting,Neon Systems,2010,0.01,77,7.9,E,11,10.2,EU,False,Mid
Vintage Saga,NES,Indie,Crystal Entertainment,1994,0.1,51,5.3,E,3,0.7,Other,True,Low
Enigma Odyssey,Wii,Puzzle,Purple Works,2013,0.23,87,9.4,E,5,1.3,JP,False,High
Max Mini,Switch,Party,Silver Works,2017,1.0,54,5.8,E10+,14,6.3,JP,True,Low
Lord Indie,NES,Indie,Future Interactive,1994,0.32,81,9.2,E,4,2.2,EU,False,High
Riddle Journey 3,Switch,Puzzle,Purple Studios,2017,0.46,71,7.6,E,7,1.5,EU,False,Mid
Prince Racing,PS4,Racing,Thunder Interactive,2013,0.43,86,8.0,E10+,42,45.6,Other,True,High
Raven Quest 2,WiiU,Adventure,Epic Systems,2012,0.72,76,7.7,M,10,3.9,JP,False,Mid
Warrior Explorer,PC,Adventure,Silver Labs,2015,1.3,87,8.6,M,35,19.7,EU,False,High
Collection Adventure 2,Wii,Party,Cosmic Entertainment,2011,0.06,97,9.8,E10+,18,7.6,Other,False,Top
Games Adventure,GC,Party,Blue Designs,2007,0.44,68,6.3,M,14,3.5,Other,True,Mid
Explorer Legends: Awakening,XOne,Adventure,Purple Works,2020,1.09,69,6.9,T,36,20.8,JP,True,Mid
School Odyssey,PS3,Indie,Storm Studios,2017,0.02,65,6.2,E,5,3.4,Other,True,Mid
Dog Universe,PS3,Role-Playing,Silver Works,2017,0.14,78,7.9,RP,34,15.6,JP,True,Mid
Shot Stories 3,PS4,Shooter,Purple Designs,2017,4.32,83,8.6,E10+,49,72.0,NA,True,High
Eagle Logic,SNES,Puzzle,Storm Interactive,1998,0.11,64,6.1,T,5,3.9,NA,False,Low
Bundle Chronicles,SNES,Party,Blue Games,1998,0.14,78,8.2,M,13,6.8,EU,True,Mid
Legend Brain,NES,Puzzle,Silver Creations,1994,0.02,62,5.4,RP,4,1.8,Other,False,Low
Trigger Quest,PC,Shooter,Purple Studios,2008,0.13,65,6.6,E,43,9.8,EU,False,Mid
Dragon Retro,Wii,Indie,Silver Creations,2013,0.17,62,5.9,E,4,1.2,JP,True,Low
Mega Mind,PS2,Puzzle,Storm Games,2005,0.16,74,7.5,M,5,2.0,EU,False,Mid
Wizard Brawl,PS4,Fighting,Green Systems,2020,0.09,47,5.0,T,32,11.1,EU,True,Low
Path Legends: Rising,PS1,Role-Playing,Digital Productions,2002,0.22,77,6.7,T,31,9.3,NA,False,Mid
Boost Epic,Wii,Platform,Neon Works,2013,0.07,76,7.7,E10+,8,2.1,Other,False,Mid
Old Saga,PS4,Indie,Lightning Games,2013,0.21,64,6.4,T,31,22.0,Other,True,Low
League Journey 3,XOne,Sports,Neon Works,2013,0.1,71,7.0,E10+,33,30.4,JP,False,Mid
Rage Stories 5,PS4,Action,Crystal Systems,2013,1.03,82,8.3,T,35,36.8,NA,False,High
Speed Journey,PS5,Racing,Thunder Interactive,2020,0.03,70,7.3,E10+,36,10.4,Other,False,Mid
Racing Tales 4,SNES,Racing,Silver Creations,1998,0.04,65,7.2,T,12,3.1,EU,True,Mid
Turbo Legends 3,PS5,Racing,Neon Interactive,2020,0.16,50,5.6,E10+,11,5.8,NA,False,Low
Target Saga,WiiU,Shooter,Thunder Studios,2012,1.41,74,7.7,RP,33,12.6,Other,True,Mid
Trigger Adventure: Awakening,NES,Shooter,Lightning Systems,1990,0.1,72,7.6,M,26,19.1,Other,False,Mid
Clash Epic 4,WiiU,Fighting,Purple Studios,2017,0.3,83,8.2,M,19,5.1,EU,True,High
Wolf Enigma,N64,Puzzle,Green Designs,2002,0.28,85,8.1,T,3,1.1,EU,False,High
Farm Legends,GC,Simulation,Neon Works,2005,0.2,59,6.0,T,12,5.4,EU,False,Low
Squirrel Fight 4,XOne,Fighting,Digital Productions,2013,0.06,70,7.2,E,33,26.0,NA,False,Mid
Run Tales,GC,Platform,Green Labs,2007,0.04,60,5.8,E,13,6.0,EU,False,Low
Dash Saga,GC,Platform,Crystal Entertainment,2007,0.41,62,5.6,E10+,23,9.0,EU,False,Low
Lion Fighter: Resurrection,PS3,Action,Green Designs,2006,0.24,62,5.9,E,32,15.7,NA,False,Low
Dragon Conflict 5,X360,Strategy,Storm Studios,2009,0.06,94,9.8,M,13,6.3,EU,True,Top
Variety Tales,GC,Party,Thunder Games,2007,0.01,79,7.8,T,11,2.5,Other,False,Mid
Championship Stories,X360,Fighting,Cyber Studios,2005,0.01,64,6.8,M,15,8.3,Other,False,Low
Command Saga,PS5,Strategy,Legendary Entertainment,2022,0.01,52,5.1,E10+,33,13.5,JP,False,Low
Riddle Journey 4,PC,Puzzle,Thunder Entertainment,2010,0.08,86,8.4,E10+,24,10.9,Other,False,High
Hero Boost: Awakening,Wii,Platform,Red Entertainment,2013,0.05,92,9.7,M,7,3.9,EU,False,Top
Fight Odyssey,PC,Fighting,Lightning Systems,2018,0.01,62,5.3,E10+,72,51.9,NA,False,Low
Fighter Legends,Switch,Action,Cyber Studios,2017,0.1,42,3.9,E10+,30,20.8,Other,True,Low
Rage Chronicles,NES,Action,Silver Labs,1994,1.03,76,8.6,M,33,13.7,JP,True,Mid
Fire Stories 3,X360,Shooter,Crystal Entertainment,2005,0.88,60,6.6,E,31,13.9,JP,True,Low
Ultimate Duel,PC,Fighting,Blue Games,2015,0.11,77,8.0,M,23,14.2,JP,True,Mid
